Depth,GR,MUD_VOLUME,TVD,Boundary_flag,Unit_index,GR_shape_code,Lithofacies_major,Lithofacies_mean,Sharp_boundary,Stacking_pattern,Biostratigraphy,Reliability,Special_lithology,Core_depofacies,Number_of_similar_units_50,Index_of_similar_units_50,Number_of_similar_units_100,Index_of_similar_units_100,Unit_Thick,Alluvial_Fan,Fluvial_Channel,Fluvial_Point_Bar,Levee,Crevasse_Splay,Fluvial_Floodplain,Progradational_Lacustrine_Delta,Lacustrine_Fan_Delta,Progradational_Lacustrine_Shoreface,Transgressive_Lacustrine_Shoreface,Aggradational_Lacustrine_Shoreface,Lacustrine_Offshore_Transition,Lacustrine_Shelf,Proximal_Sub-Lacustrine_Fan,Distal_Sub-Lacustrine_Fan,Lacustrine_Turbidite,Distal_Lacustrine_Turbidites,Lacustrine_Deepwater,Marine_Delta,Marine_Fan_Delta,Tidal_Channel_and_Sand_Flat,Sandy_Tidal_Flat,Mixed_Tidal_Flat,Muddy_Tidal_Flat,Lagoon,Progradational_Marine_Shoreface,Transgressive_Marine_Shoreface,Aggradational_Marine_Shoreface,Marine_Offshore_Transition,Marine_Shelf,Proximal_Submarine_Fan,Distal_Submarine_Fan,Marine_Turbidite,Distal_Marine_Turbidites,Marine_Deepwater
1804.7473,121.7799,0.9137,1804.7473,0,68,5,4,4,0,3,3,1,-999,-999.0,0,[],0,[],2.098600000000033,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,5
1806.8459,79.2754,0.5131,1806.8459,0,69,2,3,3,0,3,3,1,-999,-999.0,0,[],0,[],1.1990999999998166,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
1808.0451,78.8578,0.6184,1808.045,0,70,2,3,3,0,3,3,1,-999,-999.0,0,[],0,[],1.6490000000001146,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
1809.694,84.7566,0.6499,1809.694,0,71,1,3,3,0,3,3,1,-999,-999.0,0,[],0,[],2.8480999999999312,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
1812.5421,53.4141,0.4598,1812.5421,0,72,4,3,3,0,3,3,1,-999,-999.0,0,[],0,[],1.6488999999999123,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0
1814.191,72.3039,0.5448,1814.191,0,73,1,3,3,0,3,3,1,-999,-999.0,0,[],0,[],1.1992999999999938,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
1815.3902,55.3168,0.3853,1815.3903,0,74,2,2,2,0,3,3,1,-999,-999.0,0,[],0,[],1.199100000000044,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0
1816.5894,58.7724,0.3912,1816.5894,0,75,1,3,3,0,1,3,1,-999,-999.0,0,[],0,[],1.6489000000001397,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
1818.2383,61.0334,0.5864,1818.2383,0,76,2,3,3,0,1,3,1,-999,-999.0,0,[],0,[],2.098600000000033,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
1820.3369,67.9579,0.5033,1820.3369,0,77,1,3,3,0,2,3,1,-999,-999.0,1,[78],0,[],1.948699999999917,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
